id,title,body
"01-account-pin","Reset your B-Mobile My Account PIN","Open the B-Mobile app or visit My Account on b-mobile.example, tap Profile → Security → Reset PIN, then enter the one-time code we send by SMS. The code expires in 15 minutes. If you no longer have the SIM, visit a B-Mobile store with photo ID."
"02-billing-invoice","Find or download a B-Mobile bill","Log in to My Account → Billing. Current and past 12 invoices are listed as PDF. Paper bills can be turned on under Billing preferences. Disputed charges should be raised within 60 days of the bill date."
"03-device-shipping","Track a B-Mobile handset or accessory order","Go to My Account → Orders. Once dispatched we email a courier tracking number, usually within 2 business days for in-stock phones. Pre-orders ship on the device launch date. Signature is required for devices over $200."
"04-returns-refunds","Return a phone or accessory","Unopened accessories can be returned within 14 days. Handsets have a 14-day cooling-off period if they are unused, in original packaging, with all accessories. Start a return in My Account → Orders → Return. Refunds post to the original payment method in 5–10 business days after we receive the device."
"05-plan-upgrade","Upgrade or change your B-Mobile plan","In My Account → Plan, choose Change plan. Moving to a higher unlimited or 5G plan takes effect immediately. Downgrades apply from the next bill cycle. Device repayment agreements stay in force when you change plan."
"06-account-email","Change the email on your B-Mobile account","My Account → Profile → Contact details. We send a confirmation link to the new address. The login email updates after you confirm. You cannot use an email already tied to another B-Mobile account."
"07-data-usage","Check B-Mobile data usage","Open the app home screen or My Account → Usage. You will see data used this cycle, remaining allowance, and a daily chart. Unlimited plans show fair-use policy notes after 50 GB of tethering. Usage refreshes about every 15 minutes."
"08-roaming","Use B-Mobile data roaming abroad","Roaming is off by default. Enable it in the app under Usage → Roaming before you travel. Pay-as-you-go zones are listed on b-mobile.example/roaming. Daily roaming passes start when the phone first attaches to a foreign network and last 24 hours."
"09-esim","Set up a B-Mobile eSIM","Compatible phones can download an eSIM from My Account → SIM → Add eSIM. Scan the QR code or tap the iOS/Android install link. Keep the physical SIM until the eSIM shows 5G or LTE. Dual-SIM: set B-Mobile as the cellular-data line."
"10-lost-stolen","Report a lost or stolen B-Mobile phone","In the app tap Help → Suspend line, or call 611 from another phone. We block the IMEI and pause the service. You remain responsible for charges until the line is suspended. Replacement SIMs are free; handset insurance is a separate add-on."
"11-number-porting","Port your number to B-Mobile","Start in My Account → Join → Port number. You need the account number and PIN from your current carrier. Keep that line active until we text that the port completed, usually within one business day. Do not cancel the old service yourself."
"12-voicemail","Set up B-Mobile visual voicemail","Dial 123 from your B-Mobile line and follow the prompts to set a PIN and greeting. Visual voicemail appears in the Phone app on supported devices after you enable it under Settings → Voicemail. Standard voicemail is included on all consumer plans."
